STORM NAME,LANDFALL DATE,format change,excel order date,DAMAGE RANK,CURRENT DAMAGE.2012,BASE DAMAGE,LANDFALL STATE,CATEGORY,WmaxLandfall
Fay,"Sep 07,2002","Sep 07, 2002",37506,232,"6,000,000","4,500,000",TX,0,60
Gustav,"Sep 10,2002","Sep 10, 2002",37509,238,"200,000","100,000",NC,0,65
Hanna,"Sep 14,2002","Sep 14, 2002",37513,215,"29,000,000","20,000,000",MS,0,60
Isidore,"Sep 26,2002","Sep 26, 2002",37525,137,"480,000,000","330,000,000",LA,0,65
Lili,"Oct 03,2002","Oct 03, 2002",37532,104,"1,210,000,000","860,000,000",LA,1,90
Kyle,"Oct 11,2002","Oct 11, 2002",37540,229,"7,000,000","5,000,000",SC,0,40
Bill,"Jun 30,2003","Jun 30, 2003",37802,192,"69,000,000","50,000,000",LA,0,60
Claudette,"Jul 15,2003","Jul 15, 2003",37817,155,"250,000,000","180,000,000",TX,1,90
Isabel,"Sep 18,2003","Sep 18, 2003",37882,54,"4,820,000,000","3,370,000,000",NC,2,105
Alex,"Aug 03,2004","Aug 03, 2004",38202,233,"5,000,000","4,000,000",NC,1,100
Charley,"Aug 13,2004","Aug 13, 2004",38212,19,"18,520,000,000","13,510,000,000",FL,4,150
Charley,"Aug 14,2004","Aug 14, 2004",38213,179,"120,000,000","90,000,000",SC,1,80
Gaston,"Aug 29,2004","Aug 29, 2004",38228,170,"160,000,000","130,000,000",SC,1,75
Frances,"Sep 05,2004","Sep 05, 2004",38235,29,"12,310,000,000","9,000,000,000",FL,2,105
Ivan,"Sep 16,2004","Sep 16, 2004",38246,20,"18,480,000,000","14,200,000,000",AL,3,120
Jeanne,"Sep 26,2004","Sep 26, 2004",38256,34,"9,350,000,000","6,900,000,000",FL,3,120
Cindy,"Jul 05,2005","Jul 05, 2005",38538,145,"360,000,000","320,000,000",LA,1,75
Dennis,"Jul 10,2005","Jul 10, 2005",38543,71,"2,670,000,000","2,230,000,000",FL,3,120
Katrina,"Aug 29,2005","Aug 29, 2005",38593,3,"92,050,000,000","81,000,000,000",LA,3,125
Ophelia,"Sep 15,2005","Sep 15, 2005",38610,188,"84,000,000","70,000,000",NC,1,80
Rita,"Sep 24,2005","Sep 24, 2005",38619,30,"11,330,000,000","10,000,000,000",LA,3,115
Wilma,"Oct 24,2005","Oct 24, 2005",38649,11,"26,210,000,000","20,600,000,000",FL,3,120
Ernesto,"Aug 29,2006","Aug 29, 2006",38958,131,"550,000,000","500,000,000",FL,0,45
Humberto,"Sep 13,2007","Sep 13, 2007",39338,202,"51,000,000","50,000,000",TX,1,90
Dolly,"Jul 23,2008","Jul 23, 2008",39652,109,"1,080,000,000","1,050,000,000",TX,1,85
Fay,"Aug 19,2008","Aug 19, 2008",39679,127,"590,000,000","560,000,000",FL,0,65
Gustav,"Sep 01,2008","Sep 01, 2008",39692,61,"4,220,000,000","4,300,000,000",LA,2,105
Hanna,"Sep 06,2008","Sep 06, 2008",39697,167,"170,000,000","160,000,000",SC,0,70
Ike,"Sep 13,2008","Sep 13, 2008",39704,15,"19,600,000,000","19,300,000,000",TX,2,110
Alex,"Jun 30,2010","Jun 30, 2010",40359,225,"10,000,000","10,000,000",TX,2,110
Earl,"Sep 02,2010","Sep 02, 2010",40423,220,"18,000,000","18,000,000",NC,2,105
Hermine,"Sep 06,2010","Sep 06, 2010",40427,156,"250,000,000","240,000,000",TX,0,70
